URL,Scraped_Time,Condition,Car Make,Model,Trim,Year,Kilometers,Body Type,Number of Seats,Fuel,Transmission,Engine Size (cc),Exterior Color,Interior Color,Regional Specs,Car License,Insurance,Car Customs,Body Condition,Paint,Payment Method,City,Neighborhood,Interior Options,Exterior Options,Technology Options,Price,Description_Score,Battery Capacity,Battery Range
https://jo.opensooq.com/en/search/257534229,2025-02-07 13:03:33,Used,Genesis,GV60,GV60,2022,"70,000 - 79,999",Sedan,5,Electric,Automatic,,Blue,Brown,Korean Specs,Licensed,Compulsory Insurance,With Customs,Other,Original Paint,Cash or Installments,Amman,Tabarboor,"Airbags, Heated Steering Wheel, Electric Seat Control, Air Condition, Steering Wheel Controls, Electric Windows, Center Lock, Heated Seats, Leather Seats, AUX / USB Input, Cooled Seats","Rim Wheels, Rear Sensors, Keyless Entry, Electrically Folding Mirrors, Electric Mirrors, Xenon Lights","Bluetooth, Rear Camera, Forward Collision Alert, Traction Control, Blind Spot Alert, Cruise Control, Lane Departure Alert, Tyre Pressure Monitoring, Touch Screen, Media Screen, ABS Brakes",28000,فحص كامل,50 - 69 kWh,More than 500 km
https://jo.opensooq.com/en/search/257533717,2025-02-07 13:03:35,New,BYD,Seagull,Seagull,2023,0,HatchBack,5,Electric,Automatic,,Black,Blue,Other Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,Original Paint,Cash Only,Amman,Al Rabiah,Leather Seats,Rim Wheels,Touch Screen,13500,,Less than 50 kWh,400 - 499 km
https://jo.opensooq.com/en/search/255972489,2025-02-07 13:03:38,Used,Kia,EV6,GT-Line AWD,2022,"20,000 - 29,999",Sedan,4,Electric,Automatic,,Black,Beige,Korean Specs,Licensed,Compulsory Insurance,With Customs,Poor (severe body damages),Original Paint,Cash Only,Amman,Dahiet Al Ameer Ali,"AUX / USB Input, CD player, Airbags, Sport Seats, Electric Seat Control, Cooled Seats, Steering Wheel Controls, Electric rear seat, Memory Seats, Heated Steering Wheel, Electric Windows, Leather Seats, Center Lock, Air Condition, Heated Seats, Alarm System","Daytime Running Lights, Electrically Folding Mirrors, Spare Tyre, Electric Mirrors, Rim Wheels, Xenon Lights, Front Sensors, LED Lights, Rear Sensors, Sports Package, Keyless Entry, Back Hook, Sunroof, Panoramic Roof","Lane Departure Alert, Auto Lock System, Tyre Pressure Monitoring, Rear Camera, Bluetooth, Traction Control, Voice Control, Cruise Control, Touch Screen, Park assist, Radar, Navigation system / maps, Forward Collision Alert, ABS Brakes, Sport Suspension, Blind Spot Alert, 360° Camera",25900,,More than 100 kWh,More than 500 km
https://jo.opensooq.com/en/search/257532467,2025-02-07 13:03:39,New,BYD,Seagull,Seagull,2023,0,HatchBack,5,Electric,Automatic,,White,Blue,Other Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,Original Paint,Cash Only,Amman,Al Rabiah,Steering Wheel Controls,Keyless Entry,Rear Camera,13500,,Less than 50 kWh,400 - 499 km
https://jo.opensooq.com/en/search/257532043,2025-02-07 13:03:41,New,BYD,Song Plus,Song Plus,2024,0,SUV,5,Electric,Automatic,,Black,Beige,Other Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,Original Paint,Cash Only,Irbid,Al Hay Al Sharqy,"AUX / USB Input, CD player, Airbags, Leather Seats, Electric Seat Control, Sport Seats, Steering Wheel Controls, Cooled Seats, Memory Seats, Heated Steering Wheel, Electric Windows, Air Condition, Center Lock, Alarm System, Heated Seats","Rim Wheels, Xenon Lights, Front Sensors, LED Lights, Rear Sensors, Sports Package, Keyless Entry, Back Hook, Sunroof, Panoramic Roof, Electrically Folding Mirrors, Daytime Running Lights, Electric Mirrors","Lane Departure Alert, ABS Brakes, Blind Spot Alert, 360° Camera, Apple CarPlay, Tyre Pressure Monitoring, Rear Camera, Android Auto, Diff Lock, Traction Control, Voice Control, Radar, Cruise Control, Bluetooth, Touch Screen, Park assist, Remote Start, Media Screen, Sport Suspension, Forward Collision Alert, Auto Lock System, Navigation system / maps",28900,,70 - 89 kWh,More than 500 km
https://jo.opensooq.com/en/search/257531701,2025-02-07 13:03:43,Used,Toyota,bZ,bZ4X,2023,"30,000 - 39,999",SUV,5,Electric,Automatic,,White,Black,Japanese Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,Other,Cash Only,Irbid,Al Hay Al Sharqy,"Airbags, Air Condition, AUX / USB Input, Alarm System, Electric Seat Control, Steering Wheel Controls, Electric Windows, Center Lock, Sport Seats, Leather Seats","Daytime Running Lights, Rim Wheels, Rear Sensors, Electric Mirrors, LED Lights, Back Hook","Android Auto, Cruise Control, Bluetooth, Navigation system / maps, Tyre Pressure Monitoring, Touch Screen, Media Screen, ABS Brakes, Rear Camera, Traction Control",21900,فحص كامل,50 - 69 kWh,More than 500 km
https://jo.opensooq.com/en/search/257531407,2025-02-07 13:03:44,Used,Nissan,Leaf,S,2015,"100,000 - 109,999",HatchBack,5,Electric,Automatic,,Silver,Black,American Specs,Licensed,Compulsory Insurance,With Customs,Good (body only has minor blemishes),Total repaint,Cash Only,Amman,Um El Summaq,"AUX / USB Input, Airbags, Steering Wheel Controls, Electric Windows, Center Lock, Heated Seats, Air Condition, Alarm System","Keyless Entry, Electric Mirrors, Xenon Lights","Bluetooth, Tyre Pressure Monitoring, ABS Brakes, Rear Camera, Cruise Control",7350,,Less than 50 kWh,100 - 199 km
https://jo.opensooq.com/en/search/257529007,2025-02-07 13:03:55,Used,Hyundai,Kona,Premium,2019,"80,000 - 89,999",SUV,5,Electric,Automatic,,Turquoise,Black,Korean Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,Original Paint,Cash or Installments,Zarqa,Al mantika Al Hurra,"Air Condition, Heated Steering Wheel, Electric Windows, AUX / USB Input, Cooled Seats, CD player, Heated Seats, Airbags, Sport Seats, Center Lock, Leather Seats, Alarm System, Electric Seat Control, Steering Wheel Controls","LED Lights, Keyless Entry, Xenon Lights, Rear Sensors, Front Sensors, Electric Mirrors, Rim Wheels, Electrically Folding Mirrors, Daytime Running Lights","Android Auto, Radar, Sport Suspension, Voice Control, Touch Screen, Navigation system / maps, Hud Projector, Media Screen, Bluetooth, ABS Brakes, Forward Collision Alert, Rear Camera, Blind Spot Alert, Traction Control, Tyre Pressure Monitoring, Cruise Control, Apple CarPlay, Lane Departure Alert, Park assist",17800,7,50 - 69 kWh,More than 500 km
https://jo.opensooq.com/en/search/256742635,2025-02-07 13:04:03,Used,Chevrolet,Bolt,Bolt,2019,"70,000 - 79,999",HatchBack,5,Electric,Automatic,,Grey,Black,American Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,Original Paint,Cash Only,Zarqa,Al mantika Al Hurra,"Electric Windows, AUX / USB Input, Heated Seats, CD player, Sport Seats, Airbags, Leather Seats, Center Lock, Electric Seat Control, Alarm System, Steering Wheel Controls, Heated Steering Wheel, Air Condition, Electric rear seat","Keyless Entry, Xenon Lights, Rear Sensors, Front Sensors, Electric Mirrors, Rim Wheels, Electrically Folding Mirrors, Daytime Running Lights, LED Lights","Voice Control, Media Screen, Bluetooth, ABS Brakes, Remote Start, Rear Camera, Blind Spot Alert, Traction Control, Lane Departure Alert, Cruise Control, Tyre Pressure Monitoring, Sport Suspension, Apple CarPlay, Diff Lock, Navigation system / maps, Android Auto, Touch Screen, Park assist",15500,7,50 - 69 kWh,400 - 499 km
https://jo.opensooq.com/en/search/257477083,2025-02-07 13:04:08,Used,Hyundai,Ioniq,Standard,2018,"160,000 - 169,999",Sedan,5,Electric,Automatic,"1,000 - 1,999 cc",Navy Blue,Black,Korean Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,Original Paint,Cash or Installments,Amman,Tabarboor,"Electric Windows, Heated Seats, AUX / USB Input, Leather Seats, Airbags, Heated Steering Wheel, Center Lock, CD player, Air Condition, Alarm System","Xenon Lights, LED Lights, Back Hook, Spare Tyre, Daytime Running Lights, Rim Wheels, Rear Sensors, Electrically Folding Mirrors, Keyless Entry, Electric Mirrors","ABS Brakes, Rear Camera, Traction Control, Cruise Control, Tyre Pressure Monitoring, Navigation system / maps, Auto Lock System, Apple CarPlay, Android Auto, Touch Screen, Bluetooth, Media Screen",13200,7,Less than 50 kWh,200 - 299 km
