Condition,Car Make,is_luxury,Model,Model_encoded,Trim,Trim_encoded,Year,car_age,car_age_sqrt,Kilometers Numerical,age_km_interaction,Body Type,Number of Seats,Fuel,Transmission,Engine Size (cc),Regional Specs,Car License,Insurance,Car Customs,Body Condition,body_condition_encoded,Paint,paint_condition_encoded,interior_steering_wheel_controls,interior_airbags,technology_cruise_control,exterior_rear_sensors,exterior_keyless_entry,technology_tyre_pressure_monitoring,exterior_front_sensors,interior_electric_seat_control,technology_traction_control,technology_voice_control,technology_blind_spot_alert,technology_forward_collision_alert,technology_lane_departure_alert,technology_navigation_system_/_maps,Interior_Options_Count,Interior_Options_Count_cuberoot,Exterior_Options_Count,Exterior_Options_Count_cuberoot,Technology_Options_Count,Technology_Options_Count_cuberoot,tech_features_count,has_advanced_tech,Total_Options_Count,Total_Options_Count_cuberoot,weighted_options,Battery Capacity,Battery Range,log_price,maintenance_score,excellent_maintenance,size_class
Used,Samsung,0,SM3,100,SM3,148,2015,10,3.16227766,124868.4574,1248684.574,Sedan,5,Electric,Automatic,1499,Korean Specs,Licensed,Compulsory Insurance,With Customs,Good (body only has minor blemishes),3,Original Paint,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,12,2.289428485,7,1.912931183,2,1.25992105,0,0,21,2.758924176,6.5,50,149,8.77971129,6,0,medium
New,BYD,0,Song Plus,105,Song Plus,159,2024,1,1,0,0,SUV,5,Electric,Automatic,1499,European Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,2.5198421,14,2.410142264,23,2.84386698,8,1,53,3.756285754,18.2,79,500,10.22197765,7,1,large
Used,Kia,0,EV6,47,GT AWD,82,2022,3,1.732050808,5718.872515,17156.61755,SUV,4,Electric,Automatic,249,Korean Specs,Licensed,Compulsory Insurance,With Customs,Other,0,Original Paint,3,1,1,0,1,1,0,1,1,1,1,0,0,0,1,13,2.351334688,10,2.15443469,9,2.080083823,3,0,32,3.174802104,10.5,79,500,9.885272664,3,0,large
Used,Tesla,1,Model S,82,Long Range Plus,112,2018,7,2.645751311,5620.994632,39346.96242,Sedan,4,Electric,Automatic,1499,American Specs,Licensed,Compulsory Insurance,With Customs,Other,0,Other,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2.466212074,12,2.289428485,21,2.758924176,8,1,48,3.634241186,16.5,79,449,10.16589028,0,0,medium
New,BYD,0,Seagull,101,Seagull,154,2024,1,1,0,0,HatchBack,5,Electric,Automatic,1499,Other Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,1,0,1,1,0,0,0,0,0,7,1.912931183,6,1.817120593,7,1.912931183,3,0,20,2.714417617,6.7,50,449,9.463198053,7,1,medium
Used,Chevrolet,0,Bolt,14,Bolt,23,2022,3,1.732050808,45224.24074,135672.7222,SUV,5,Electric,Automatic,1499,American Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,0,1,1,1,1,1,0,0,1,1,1,1,1,1,6,1.817120593,7,1.912931183,18,2.620741394,8,1,31,3.141380652,11.1,59,500,9.825580064,7,1,large
New,Neta,0,Other,90,Other,124,2023,2,1.414213562,0,0,HatchBack,5,Electric,Automatic,1499,Other Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,0,1,1,1,1,0,0,1,1,0,0,0,0,0,6,1.817120593,5,1.709975947,5,1.709975947,2,0,16,2.5198421,5.3,50,449,9.431321587,7,1,medium
Used,Tesla,1,Model 3,81,Performance,126,2020,5,2.236067977,35206.51762,176032.5881,Sedan,5,Electric,Automatic,5499,American Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,0,1,1,0,1,1,0,1,0,0,0,0,12,2.289428485,14,2.410142264,5,1.709975947,1,0,31,3.141380652,9.8,94,500,9.989711119,7,1,medium
Used,Tesla,1,Model X,83,Standard Range,166,2018,7,2.645751311,114768.7024,803380.9168,SUV,5,Electric,Automatic,2499,American Specs,Licensed,Compulsory Insurance,With Customs,Poor (severe body damages),1,Partially repainted,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,2.351334688,11,2.223980091,18,2.620741394,8,1,42,3.476026645,14.4,59,449,10.27508559,3,0,large
Used,JMEV,0,Other,90,Other,124,2022,3,1.732050808,15120.37202,45361.11606,Sedan,5,Electric,Automatic,1499,Other Specs,Licensed,Comprehensive Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,1,0,0,1,1,0,0,0,1,13,2.351334688,7,1.912931183,13,2.351334688,5,1,33,3.20753433,11.2,50,449,8.160803921,7,1,medium
New,Neta,0,Other,90,Other,124,2023,2,1.414213562,0,0,HatchBack,5,Electric,Automatic,1499,Other Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,0,1,1,1,1,1,0,1,0,0,0,0,0,0,6,1.817120593,6,1.817120593,8,2,2,0,20,2.714417617,6.8,50,449,9.50308461,7,1,medium
Used,Toyota,0,bZ,119,bZ4X,183,2022,3,1.732050808,55335.4443,166006.3329,SUV,5,Electric,Automatic,1499,Japanese Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,14,2.410142264,10,2.15443469,18,2.620741394,7,1,42,3.476026645,14.4,59,500,10.15816853,7,1,large
